time (s),/Bin<1> (V),Expression ,Value,Value,time (s),/Bin<0> (V),/Ain<0> (V),,
1.65E-08,1.8, , , ,5.40E-09,1.8,0,,
1.66E-08,1.8, , , ,5.51E-09,1.8,0,,
1.66E-08,1.8, , , ,5.62E-09,1.8,0,,
1.31E-08,1.8, , , ,5.73E-09,1.8,0,,
1.27E-08,1.8, , , ,5.87E-09,1.8,0,,
1.27E-08,1.8, , , ,6.00E-09,1.8,1.49E-14,,
1.28E-08,1.8, , , ,6.01E-09,1.8,1.41E-01,,
1.28E-08,1.8, , , ,6.02E-09,1.8,3.57E-01,,
1.28E-08,1.8, , , ,6.03E-09,1.8,4.78E-01,,
1.28E-08,1.8, , , ,6.03E-09,1.8,5.67E-01,,
1.28E-08,1.8, , , ,6.04E-09,1.8,6.94E-01,,
1.28E-08,1.8, , , ,6.04E-09,1.8,7.89E-01,,
1.28E-08,1.8, , , ,6.05E-09,1.8,8.75E-01,,
1.29E-08,1.8, , , ,6.05E-09,1.8,9.69E-01,,
1.29E-08,1.8, , , ,6.06E-09,1.8,1.043,,
1.29E-08,1.8, , , ,6.06E-09,1.8,1.148,,
1.30E-08,1.8, , , ,6.07E-09,1.8,1.259,,
1.27E-08,1.8, , , ,6.08E-09,1.8,1.387,,
1.31E-08,1.8, , , ,6.09E-09,1.8,1.56,,
1.32E-08,1.8, , , ,6.10E-09,1.8,1.8,,
1.33E-08,1.8, , , ,6.10E-09,1.745,1.8,,
1.33E-08,1.8, , , ,6.11E-09,1.657,1.8,,
1.34E-08,1.8, , , ,6.11E-09,1.574,1.8,,
1.35E-08,1.8, , , ,6.12E-09,1.463,1.8,,
1.36E-08,1.8, , , ,6.13E-09,1.349,1.8,,
1.37E-08,1.8, , , ,6.13E-09,1.221,1.8,,
1.39E-08,1.8, , , ,6.14E-09,1.094,1.8,,
1.40E-08,1.8, , , ,6.15E-09,9.58E-01,1.8,,
1.40E-08,1.8, , , ,6.16E-09,7.86E-01,1.8,,
1.40E-08,1.8, , , ,6.17E-09,5.71E-01,1.8,,
1.25E-08,1.8, , , ,6.18E-09,3.42E-01,1.8,,
1.24E-08,1.8, , , ,6.19E-09,1.58E-01,1.8,,
1.24E-08,1.8, , , ,6.20E-09,6.22E-15,1.8,,
1.24E-08,1.8, , , ,6.20E-09,0,1.8,,
1.24E-08,1.8, , , ,6.21E-09,0,1.8,,
1.24E-08,1.8, , , ,6.21E-09,0,1.8,,
1.24E-08,1.8, , , ,6.21E-09,0,1.8,,
1.24E-08,1.8, , , ,6.22E-09,0,1.8,,
1.25E-08,1.8, , , ,6.22E-09,0,1.8,,
1.25E-08,1.8, , , ,6.22E-09,0,1.8,,
1.25E-08,1.8, , , ,6.23E-09,0,1.8,,
1.25E-08,1.8, , , ,6.23E-09,0,1.8,,
1.25E-08,1.8, , , ,6.24E-09,0,1.8,,
1.25E-08,1.8, , , ,6.24E-09,0,1.8,,
1.40E-08,1.8, , , ,6.25E-09,0,1.8,,
1.26E-08,1.8, , , ,6.25E-09,0,1.8,,
1.26E-08,1.8, , , ,6.27E-09,0,1.8,,
1.26E-08,1.8, , , ,6.28E-09,0,1.8,,
1.26E-08,1.8, , , ,6.29E-09,0,1.8,,
1.26E-08,1.8, , , ,6.31E-09,0,1.8,,
1.26E-08,1.8, , , ,6.32E-09,0,1.8,,
1.26E-08,1.8, , , ,6.35E-09,0,1.8,,
1.27E-08,1.8, , , ,6.37E-09,0,1.8,,
