Expression ,Value,time (s),/Bin<0> (V),/Ain<0> (V),/Bin<1> (V),/Ain<1> (V)
 , ,6.567E-9,1.800,1.800,1.800,1.800
 , ,6.575E-9,1.800,1.800,1.800,1.800
 , ,6.584E-9,1.800,1.800,1.800,1.800
 , ,6.592E-9,1.800,1.800,1.800,1.800
 , ,6.603E-9,1.800,1.800,1.800,1.800
 , ,6.617E-9,1.800,1.800,1.800,1.800
 , ,6.640E-9,1.800,1.800,1.800,1.800
 , ,6.671E-9,1.800,1.800,1.800,1.800
 , ,6.706E-9,1.800,1.800,1.800,1.800
 , ,6.748E-9,1.800,1.800,1.800,1.800
 , ,6.799E-9,1.800,1.800,1.800,1.800
 , ,6.862E-9,1.800,1.800,1.800,1.800
 , ,6.927E-9,1.800,1.800,1.800,1.800
 , ,7.016E-9,1.800,1.800,1.800,1.800
 , ,7.116E-9,1.800,1.800,1.800,1.800
 , ,7.223E-9,1.800,1.800,1.800,1.800
 , ,7.315E-9,1.800,1.800,1.800,1.800
 , ,7.401E-9,1.800,1.800,1.800,1.800
 , ,7.487E-9,1.800,1.800,1.800,1.800
 , ,7.640E-9,1.800,1.800,1.800,1.800
 , ,7.843E-9,1.800,1.800,1.800,1.800
 , ,8.000E-9,1.800,1.800,1.800,1.800
 , ,8.006E-9,1.800,1.800,1.800,1.800
 , ,8.017E-9,1.800,1.800,1.800,1.800
 , ,8.023E-9,1.800,1.800,1.800,1.800
 , ,8.029E-9,1.800,1.800,1.800,1.800
 , ,8.034E-9,1.800,1.800,1.800,1.800
 , ,8.040E-9,1.800,1.800,1.800,1.800
 , ,8.045E-9,1.800,1.800,1.800,1.800
 , ,8.049E-9,1.800,1.800,1.800,1.800
 , ,8.054E-9,1.800,1.800,1.800,1.800
 , ,8.058E-9,1.800,1.800,1.800,1.800
 , ,8.064E-9,1.800,1.800,1.800,1.800
 , ,8.070E-9,1.800,1.800,1.800,1.800
 , ,8.077E-9,1.800,1.800,1.800,1.800
 , ,8.087E-9,1.800,1.800,1.800,1.800
 , ,8.094E-9,1.800,1.800,1.800,1.800
 , ,8.100E-9,1.800,1.800,1.800,1.800
 , ,8.102E-9,1.760,1.760,1.760,1.760
 , ,8.106E-9,1.700,1.700,1.700,1.700
 , ,8.109E-9,1.644,1.644,1.644,1.644
 , ,8.113E-9,1.565,1.565,1.565,1.565
 , ,8.118E-9,1.477,1.477,1.477,1.477
 , ,8.123E-9,1.388,1.388,1.388,1.388
 , ,8.127E-9,1.311,1.311,1.311,1.311
 , ,8.133E-9,1.212,1.212,1.212,1.212
 , ,8.139E-9,1.098,1.098,1.098,1.098
 , ,8.147E-9,958.8E-3,958.8E-3,958.8E-3,958.8E-3
 , ,8.155E-9,815.8E-3,815.8E-3,815.8E-3,815.8E-3
 , ,8.164E-9,651.0E-3,651.0E-3,651.0E-3,651.0E-3
 , ,8.175E-9,453.3E-3,453.3E-3,453.3E-3,453.3E-3
 , ,8.184E-9,288.6E-3,288.6E-3,288.6E-3,288.6E-3
 , ,8.191E-9,163.1E-3,163.1E-3,163.1E-3,163.1E-3
 , ,8.195E-9,81.57E-3,81.57E-3,81.57E-3,81.57E-3
 , ,8.200E-9,0.000,0.000,0.000,0.000
 , ,8.202E-9,0.000,0.000,0.000,0.000
 , ,8.205E-9,0.000,0.000,0.000,0.000
 , ,8.207E-9,0.000,0.000,0.000,0.000
 , ,8.212E-9,0.000,0.000,0.000,0.000
 , ,8.218E-9,0.000,0.000,0.000,0.000
 , ,8.224E-9,0.000,0.000,0.000,0.000
 , ,8.231E-9,0.000,0.000,0.000,0.000
 , ,8.240E-9,0.000,0.000,0.000,0.000
 , ,8.250E-9,0.000,0.000,0.000,0.000
 , ,8.260E-9,0.000,0.000,0.000,0.000
 , ,8.271E-9,0.000,0.000,0.000,0.000
 , ,8.283E-9,0.000,0.000,0.000,0.000
 , ,8.298E-9,0.000,0.000,0.000,0.000
 , ,8.311E-9,0.000,0.000,0.000,0.000
 , ,8.324E-9,0.000,0.000,0.000,0.000
 , ,8.341E-9,0.000,0.000,0.000,0.000
 , ,8.351E-9,0.000,0.000,0.000,0.000
 , ,8.361E-9,0.000,0.000,0.000,0.000
 , ,8.370E-9,0.000,0.000,0.000,0.000
 , ,8.379E-9,0.000,0.000,0.000,0.000
 , ,8.386E-9,0.000,0.000,0.000,0.000
 , ,8.394E-9,0.000,0.000,0.000,0.000
 , ,8.400E-9,0.000,0.000,0.000,0.000
 , ,8.404E-9,0.000,0.000,0.000,0.000
 , ,8.409E-9,0.000,0.000,0.000,0.000
 , ,8.414E-9,0.000,0.000,0.000,0.000
 , ,8.418E-9,0.000,0.000,0.000,0.000
 , ,8.424E-9,0.000,0.000,0.000,0.000
 , ,8.430E-9,0.000,0.000,0.000,0.000
 , ,8.436E-9,0.000,0.000,0.000,0.000
 , ,8.443E-9,0.000,0.000,0.000,0.000
 , ,8.455E-9,0.000,0.000,0.000,0.000
 , ,8.468E-9,0.000,0.000,0.000,0.000
 , ,8.483E-9,0.000,0.000,0.000,0.000
 , ,8.497E-9,0.000,0.000,0.000,0.000
 , ,8.514E-9,0.000,0.000,0.000,0.000
 , ,8.527E-9,0.000,0.000,0.000,0.000
 , ,8.543E-9,0.000,0.000,0.000,0.000
 , ,8.552E-9,0.000,0.000,0.000,0.000
 , ,8.563E-9,0.000,0.000,0.000,0.000
 , ,8.572E-9,0.000,0.000,0.000,0.000
 , ,8.590E-9,0.000,0.000,0.000,0.000
 , ,8.602E-9,0.000,0.000,0.000,0.000
 , ,8.618E-9,0.000,0.000,0.000,0.000
 , ,8.633E-9,0.000,0.000,0.000,0.000
 , ,8.645E-9,0.000,0.000,0.000,0.000
 , ,8.659E-9,0.000,0.000,0.000,0.000
 , ,8.677E-9,0.000,0.000,0.000,0.000
 , ,8.691E-9,0.000,0.000,0.000,0.000
 , ,8.709E-9,0.000,0.000,0.000,0.000
 , ,8.728E-9,0.000,0.000,0.000,0.000
 , ,8.758E-9,0.000,0.000,0.000,0.000
 , ,8.798E-9,0.000,0.000,0.000,0.000
 , ,8.850E-9,0.000,0.000,0.000,0.000
 , ,8.910E-9,0.000,0.000,0.000,0.000
 , ,8.971E-9,0.000,0.000,0.000,0.000
 , ,9.039E-9,0.000,0.000,0.000,0.000
 , ,9.119E-9,0.000,0.000,0.000,0.000
 , ,9.187E-9,0.000,0.000,0.000,0.000
 , ,9.259E-9,0.000,0.000,0.000,0.000
 , ,9.372E-9,0.000,0.000,0.000,0.000
 , ,9.478E-9,0.000,0.000,0.000,0.000
 , ,9.596E-9,0.000,0.000,0.000,0.000
 , ,9.725E-9,0.000,0.000,0.000,0.000
 , ,9.888E-9,0.000,0.000,0.000,0.000
 , ,10.00E-9,0.000,0.000,0.000,0.000
 , ,10.01E-9,112.5E-3,112.5E-3,112.5E-3,112.5E-3
 , ,10.02E-9,298.2E-3,298.2E-3,298.2E-3,298.2E-3
 , ,10.03E-9,590.0E-3,590.0E-3,590.0E-3,590.0E-3
 , ,10.04E-9,641.9E-3,641.9E-3,641.9E-3,641.9E-3
 , ,10.04E-9,745.7E-3,745.7E-3,745.7E-3,745.7E-3
 , ,10.05E-9,847.4E-3,847.4E-3,847.4E-3,847.4E-3
 , ,10.05E-9,955.6E-3,955.6E-3,955.6E-3,955.6E-3
 , ,10.06E-9,1.034,1.034,1.034,1.034
 , ,10.06E-9,1.121,1.121,1.121,1.121
 , ,10.07E-9,1.184,1.184,1.184,1.184
 , ,10.07E-9,1.258,1.258,1.258,1.258
 , ,10.07E-9,1.336,1.336,1.336,1.336
 , ,10.08E-9,1.423,1.423,1.423,1.423
 , ,10.09E-9,1.541,1.541,1.541,1.541
 , ,10.09E-9,1.689,1.689,1.689,1.689
 , ,10.10E-9,1.800,1.800,1.800,1.800
 , ,10.10E-9,1.800,1.800,1.800,1.800
 , ,10.11E-9,1.800,1.800,1.800,1.800
 , ,10.11E-9,1.800,1.800,1.800,1.800
