Expression ,Value,time (s),/Bin<1> (V),/Ain<1> (V),/Ain<0> (V),/Bin<0> (V)
 , ,6.260E-9,1.800,0.000,1.800,0.000
 , ,6.271E-9,1.800,0.000,1.800,0.000
 , ,6.285E-9,1.800,0.000,1.800,0.000
 , ,6.299E-9,1.800,0.000,1.800,0.000
 , ,6.316E-9,1.800,0.000,1.800,0.000
 , ,6.337E-9,1.800,0.000,1.800,0.000
 , ,6.361E-9,1.800,0.000,1.800,0.000
 , ,6.383E-9,1.800,0.000,1.800,0.000
 , ,6.399E-9,1.800,0.000,1.800,0.000
 , ,6.406E-9,1.800,0.000,1.800,0.000
 , ,6.412E-9,1.800,0.000,1.800,0.000
 , ,6.418E-9,1.800,0.000,1.800,0.000
 , ,6.423E-9,1.800,0.000,1.800,0.000
 , ,6.428E-9,1.800,0.000,1.800,0.000
 , ,6.433E-9,1.800,0.000,1.800,0.000
 , ,6.437E-9,1.800,0.000,1.800,0.000
 , ,6.442E-9,1.800,0.000,1.800,0.000
 , ,6.449E-9,1.800,0.000,1.800,0.000
 , ,6.454E-9,1.800,0.000,1.800,0.000
 , ,6.461E-9,1.800,0.000,1.800,0.000
 , ,6.471E-9,1.800,0.000,1.800,0.000
 , ,6.483E-9,1.800,0.000,1.800,0.000
 , ,6.497E-9,1.800,0.000,1.800,0.000
 , ,6.511E-9,1.800,0.000,1.800,0.000
 , ,6.527E-9,1.800,0.000,1.800,0.000
 , ,6.547E-9,1.800,0.000,1.800,0.000
 , ,6.570E-9,1.800,0.000,1.800,0.000
 , ,6.589E-9,1.800,0.000,1.800,0.000
 , ,6.606E-9,1.800,0.000,1.800,0.000
 , ,6.613E-9,1.800,0.000,1.800,0.000
 , ,6.619E-9,1.800,0.000,1.800,0.000
 , ,6.626E-9,1.800,0.000,1.800,0.000
 , ,6.629E-9,1.800,0.000,1.800,0.000
 , ,6.634E-9,1.800,0.000,1.800,0.000
 , ,6.639E-9,1.800,0.000,1.800,0.000
 , ,6.643E-9,1.800,0.000,1.800,0.000
 , ,6.650E-9,1.800,0.000,1.800,0.000
 , ,6.655E-9,1.800,0.000,1.800,0.000
 , ,6.661E-9,1.800,0.000,1.800,0.000
 , ,6.669E-9,1.800,0.000,1.800,0.000
 , ,6.681E-9,1.800,0.000,1.800,0.000
 , ,6.695E-9,1.800,0.000,1.800,0.000
 , ,6.710E-9,1.800,0.000,1.800,0.000
 , ,6.725E-9,1.800,0.000,1.800,0.000
 , ,6.743E-9,1.800,0.000,1.800,0.000
 , ,6.764E-9,1.800,0.000,1.800,0.000
 , ,6.779E-9,1.800,0.000,1.800,0.000
